,Total extra views,Average distance,Max distance
https://www.tudelft.nl/en/ide/about-ide/departments/sustainable-design-engineering/research-areas/design-for-sustainability/,1506.0,1.505999999999981,2.0
https://www.tudelft.nl/en/tpm/about-the-faculty/departments/multi-actor-systems/people/phd-candidates/ir-g-geertje-slingerland/,1505.0,1.504999999999983,2.0
https://www.tudelft.nl/en/education/programmes/masters/aerospace-engineering/msc-aerospace-engineering/,1505.0,1.5049999999999841,4.0
http://railahead.tudelft.nl/themes/all-publications/,1504.0,1.5039999999999834,2.0
https://www.tudelft.nl/en/education/admission-and-application/msc-international-diploma/1-admission-requirements/,1501.0,1.5009999999999812,4.0
https://www.tudelft.nl/tbm/denhaag/,1501.0,1.5009999999999815,2.0
https://www.tudelft.nl/index.php?id=49137,1500.0,1.4999999999999822,2.0
http://staff.tudelft.nl/en/E.Jafari/,1498.0,1.4979999999999651,3.0
https://www.tudelft.nl/tbm/onderwijs/bacheloropleiding/,1497.0,1.4969999999999695,14.0
https://www.tudelft.nl/d-dream/teams/project-march/,1496.0,1.4959999999999838,2.0
http://staff.tudelft.nl/A.A.J.F.vandenDobbelsteen/,1491.0,1.4909999999999655,3.0
http://staff.tudelft.nl/en/T.Bacchin/,1489.0,1.4889999999999641,3.0
https://www.tudelft.nl/en/student/faculties/ceg-student-portal/education/education-information/study-abroad/,1487.0,1.4869999999999837,2.0
https://www.tudelft.nl/en/staff/a.w.heemink,1485.0,1.4849999999999828,2.0
https://www.tudelft.nl/en/ide/about-ide/departments/sustainable-design-engineering/research-areas/design-for-sustainability/education/,1485.0,1.4849999999999817,2.0
http://www.cheme.tudelft.nl,1478.0,1.4779999999999829,2.0
https://www.tudelft.nl/en/faculty-of-applied-sciences/,1475.0,1.4749999999999823,2.0
